StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q14,Q15,Q16,Condition
2018-11-03 14:45:59,2018-11-03 14:46:39,IP Address,99.127.184.68,100,39,True,2018-11-03 14:46:39,R_2itXGZPvt5mRFN7,,,,,33.985992431640625,-80.99720001220703125,anonymous,EN,Yes- I consent,,,,,,,,,,,39,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 14:45:52,2018-11-03 14:47:22,IP Address,184.89.129.208,100,90,True,2018-11-03 14:47:22,R_4J7EarXCbqgQkSt,,,,,28.5005950927734375,-81.535400390625,anonymous,EN,Yes- I consent,,,,,,,,,,,38,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 14:45:50,2018-11-03 14:47:25,IP Address,73.62.245.4,100,95,True,2018-11-03 14:47:26,R_W1EEyJj7wQ4C8WB,,,,,44.991302490234375,-92.948699951171875,anonymous,EN,Yes- I consent,,,,,,58.5,59.865,60.324,2,1,26,Female,,Caucasian,,Maybe,Lean Democrat,No,2
2018-11-03 14:49:24,2018-11-03 14:50:13,IP Address,76.180.67.64,100,48,True,2018-11-03 14:50:13,R_eFlT2jY3dNXnPcl,,,,,42.925506591796875,-78.74810028076171875,anonymous,EN,Yes- I consent,28.268,28.268,30.4,1,5,,,,,,29,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 14:50:42,2018-11-03 14:51:55,IP Address,68.7.63.126,100,72,True,2018-11-03 14:51:56,R_3efWYEQ3xK014wN,,,,,32.7928009033203125,-116.96649932861328125,anonymous,EN,Yes- I consent,,,,,,55.017,55.017,55.992,1,1,38,Male,,Caucasian,,No,Somewhere in-between,Unsure,2
2018-11-03 14:53:03,2018-11-03 14:54:20,IP Address,73.119.0.86,100,77,True,2018-11-03 14:54:21,R_3HSaywXoSX8N2pC,,,,,42.39630126953125,-71.032501220703125,anonymous,EN,Yes- I consent,,,,,,,,,,,44,Female,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 15:08:56,2018-11-03 15:10:54,IP Address,73.204.124.125,100,118,True,2018-11-03 15:10:54,R_1PYrVBlXvok8U5e,,,,,27.5998992919921875,-80.438201904296875,anonymous,EN,Yes- I consent,44.503,44.503,77.369,1,3,,,,,,38,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 15:01:45,2018-11-03 15:11:55,IP Address,209.135.132.136,100,610,True,2018-11-03 15:11:56,R_2vbHBz6HM57CRbF,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes- I consent,,,,,,479.461,480.892,481.572,2,1,34,Female,,Caucasian,,Yes,Somewhere in-between,Yes,2
2018-11-03 15:18:10,2018-11-03 15:18:41,IP Address,70.170.106.84,100,30,True,2018-11-03 15:18:41,R_1BXffqlmOF6edxI,,,,,36.247100830078125,-115.22100067138671875,anonymous,EN,Yes- I consent,,,,,,,,,,,21,Male,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 15:18:11,2018-11-03 15:19:32,IP Address,208.54.44.138,100,80,True,2018-11-03 15:19:33,R_2xGgHzvdPdRt8Xj,,,,,35.2270965576171875,-80.84310150146484375,anonymous,EN,Yes- I consent,2.171,33.123,34.734,10,5,,,,,,23,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 15:18:29,2018-11-03 15:19:38,IP Address,68.32.197.217,100,68,True,2018-11-03 15:19:38,R_1diBBaXuY20vDXy,,,,,42.897705078125,-85.718597412109375,anonymous,EN,Yes- I consent,,,,,,,,,,,29,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 15:18:11,2018-11-03 15:19:47,IP Address,71.70.95.154,100,95,True,2018-11-03 15:19:47,R_3PXmuk0Cmq46Bb8,,,,,33.876800537109375,-78.6508026123046875,anonymous,EN,Yes- I consent,,,,,,5.297,59.82,60.305,4,1,41,Female,,Caucasian,,Maybe,Lean Democrat,Yes,2
2018-11-03 15:18:22,2018-11-03 15:22:45,IP Address,72.51.172.207,100,263,True,2018-11-03 15:22:45,R_31SetHzIqWIJEQ8,,,,,38.2628021240234375,-85.66629791259765625,anonymous,EN,Yes- I consent,6.195,233.384,234.181,5,3,,,,,,30,Male,,Asian,,Yes,Somewhere in-between,Yes,1
2018-11-03 15:21:37,2018-11-03 15:25:00,IP Address,174.21.80.200,100,203,True,2018-11-03 15:25:00,R_REvIcXugDwTZIL7,,,,,47.5406951904296875,-122.2711944580078125,anonymous,EN,Yes- I consent,,,,,,,,,,,36,Male,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 15:22:11,2018-11-03 15:25:36,IP Address,24.229.200.217,100,204,True,2018-11-03 15:25:36,R_zYWqysYvsr37gRP,,,,,40.529296875,-75.50099945068359375,anonymous,EN,Yes- I consent,,,,,,25.432,103.261,104.158,5,1,29,Female,,Caucasian,,No,Lean Republican,No,2
2018-11-03 15:26:20,2018-11-03 15:28:04,IP Address,24.233.104.63,100,103,True,2018-11-03 15:28:04,R_1qWhuDrWmpcJxZN,,,,,43.460296630859375,-71.57740020751953125,anonymous,EN,Yes- I consent,64.068,64.068,65.26,1,3,,,,,,55,Female,,Caucasian,,Yes,Somewhere in-between,Yes,1
2018-11-03 15:35:21,2018-11-03 15:36:33,IP Address,100.10.88.136,100,72,True,2018-11-03 15:36:34,R_2EhFnr0liA2J9XG,,,,,41.868499755859375,-71.39279937744140625,anonymous,EN,Yes- I consent,,,,,,47.391,47.391,50.368,1,1,24,Male,,Other - Please specify,Hispanic/Latino,Maybe,Somewhere in-between,Yes,2
2018-11-03 15:51:10,2018-11-03 15:51:36,IP Address,68.4.21.253,100,25,True,2018-11-03 15:51:36,R_pz9bsCZMFGvUjIZ,,,,,33.4615020751953125,-117.6374969482421875,anonymous,EN,Yes- I consent,,,,,,,,,,,28,Male,,Caucasian,,Maybe,Somewhere in-between,Yes,3
2018-11-03 15:51:11,2018-11-03 15:52:08,IP Address,73.45.66.207,100,56,True,2018-11-03 15:52:08,R_1IrTTtBE8GJzz9W,,,,,41.9208984375,-87.7042999267578125,anonymous,EN,Yes- I consent,30.207,30.207,31.585,1,3,,,,,,19,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 15:52:20,2018-11-03 15:52:43,IP Address,71.14.80.53,100,22,True,2018-11-03 15:52:43,R_3lypU7nEFKoNXye,,,,,38.5814056396484375,-90.2624969482421875,anonymous,EN,Yes- I consent,,,,,,,,,,,25,Male,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 15:51:04,2018-11-03 15:52:48,IP Address,69.47.51.236,100,104,True,2018-11-03 15:52:49,R_3JnqUGReCIW0B2n,,,,,39.953704833984375,-82.93170166015625,anonymous,EN,Yes- I consent,,,,,,56.108,59.388,61.378,3,1,53,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 15:51:44,2018-11-03 15:53:30,IP Address,69.63.18.57,100,106,True,2018-11-03 15:53:30,R_1EhaOSRI4Rw4Grb,,,,,42.7404937744140625,-93.21099853515625,anonymous,EN,Yes- I consent,,,,,,64.227,68.58,69.608,3,1,42,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 15:51:12,2018-11-03 15:53:42,IP Address,75.169.12.58,100,149,True,2018-11-03 15:53:42,R_OQcEDUExZDAPaQp,,,,,40.5688018798828125,-111.86170196533203125,anonymous,EN,Yes- I consent,77.453,77.453,84.444,1,3,,,,,,48,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 16:12:29,2018-11-03 16:14:07,IP Address,67.140.170.12,100,98,True,2018-11-03 16:14:07,R_9EqYsjFIDJSJCUx,,,,,37.1549072265625,-84.096099853515625,anonymous,EN,Yes- I consent,,,,,,64.067,64.067,65.477,1,1,38,Male,,Caucasian,,Maybe,Somewhere in-between,Yes,2
2018-11-03 16:24:09,2018-11-03 16:24:32,IP Address,98.21.58.45,100,23,True,2018-11-03 16:24:32,R_ypXaZqcoRrhggvL,,,,,40.17669677734375,-76.4297027587890625,anonymous,EN,Yes- I consent,,,,,,,,,,,48,Male,,Caucasian,,Maybe,Lean Republican,Yes,3
2018-11-03 16:24:03,2018-11-03 16:25:21,IP Address,172.88.19.93,100,77,True,2018-11-03 16:25:21,R_32JYluTJaKNouG7,,,,,34.20050048828125,-118.5404052734375,anonymous,EN,Yes- I consent,44.067,47.207,48.036,2,5,,,,,,24,Male,,"Asian,Caucasian,Pacific Islander",,No,Somewhere in-between,Yes,1
2018-11-03 16:24:00,2018-11-03 16:25:21,IP Address,174.20.206.240,100,80,True,2018-11-03 16:25:21,R_3szhNwXJ60PcX7M,,,,,45.0644989013671875,-93.34130096435546875,anonymous,EN,Yes- I consent,35.245,41.088,42.657,2,3,,,,,,47,Male,,Caucasian,,Yes,Lean Republican,Yes,1
2018-11-03 16:24:59,2018-11-03 16:25:37,IP Address,68.203.9.3,100,38,True,2018-11-03 16:25:37,R_1KkeEBKTkB5g01j,,,,,30.45489501953125,-97.756500244140625,anonymous,EN,Yes- I consent,,,,,,,,,,,23,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 16:24:08,2018-11-03 16:26:36,IP Address,174.198.27.11,100,147,True,2018-11-03 16:26:37,R_1QDF21FYT49D9rm,,,,,42.4084930419921875,-87.85959625244140625,anonymous,EN,Yes- I consent,,,,,,110.555,110.555,112.52,1,1,68,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 16:26:15,2018-11-03 16:26:42,IP Address,107.132.59.182,100,27,True,2018-11-03 16:26:42,R_1IWao2BUrw2VrZX,,,,,40.04949951171875,-83.06690216064453125,anonymous,EN,Yes- I consent,,,,,,,,,,,27,Male,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 16:26:13,2018-11-03 16:28:19,IP Address,172.91.86.202,100,126,True,2018-11-03 16:28:19,R_3OibHfg5poJI48Y,,,,,34.0637054443359375,-118.4407958984375,anonymous,EN,Yes- I consent,,,,,,13.378,87.346,88.728,6,1,23,Male,,Asian,,No,Somewhere in-between,No,2
2018-11-03 16:27:03,2018-11-03 16:29:27,IP Address,68.230.83.122,100,144,True,2018-11-03 16:29:27,R_2P7HIx9kfp8ppcI,,,,,33.6298980712890625,-112.13159942626953125,anonymous,EN,Yes- I consent,35.745,35.745,36.556,1,3,,,,,,27,Male,,Caucasian,,Yes,Lean Republican,Yes,1
2018-11-03 16:37:27,2018-11-03 16:38:00,IP Address,98.143.0.37,100,33,True,2018-11-03 16:38:01,R_3MS84S4fv3XzMV3,,,,,35.3842010498046875,-85.3925018310546875,anonymous,EN,Yes- I consent,,,,,,,,,,,45,Male,,Caucasian,,Maybe,Lean Republican,Yes,3
2018-11-03 16:56:37,2018-11-03 16:57:15,IP Address,66.41.87.139,100,38,True,2018-11-03 16:57:15,R_727tOO6lTBKo4LL,,,,,45.0937957763671875,-93.00229644775390625,anonymous,EN,Yes- I consent,,,,,,,,,,,37,Female,,Caucasian,,Yes,Lean Democrat,No,3
2018-11-03 16:56:36,2018-11-03 16:57:43,IP Address,65.96.231.40,100,67,True,2018-11-03 16:57:44,R_1jpqrfTZUPM2X0C,,,,,42.6540985107421875,-71.9219970703125,anonymous,EN,Yes- I consent,37.95,37.95,39.412,1,3,,,,,,31,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 16:56:52,2018-11-03 16:57:58,IP Address,73.20.1.228,100,65,True,2018-11-03 16:57:58,R_3pfkne2qmcUXftf,,,,,41.0879058837890625,-111.97039794921875,anonymous,EN,Yes- I consent,36.217,36.217,37.083,1,3,,,,,,55,Female,,Caucasian,,Maybe,Lean Republican,Yes,1
2018-11-03 16:56:36,2018-11-03 16:58:03,IP Address,71.89.66.152,100,86,True,2018-11-03 16:58:03,R_CfbZBVw2rMPV2G5,,,,,43.384002685546875,-88.1636962890625,anonymous,EN,Yes- I consent,,,,,,63.786,63.786,66.257,1,1,36,Female,,Caucasian,,Maybe,Lean Republican,Yes,2
2018-11-03 16:56:44,2018-11-03 16:58:15,IP Address,98.193.248.92,100,90,True,2018-11-03 16:58:15,R_1P1wj8mbOshTu0J,,,,,35.871002197265625,-86.41809844970703125,anonymous,EN,Yes- I consent,,,,,,5.056,55.967,56.994,3,1,42,Female,,Caucasian,,Yes,Lean Republican,Yes,2
2018-11-03 16:57:04,2018-11-03 16:58:55,IP Address,63.228.76.231,100,111,True,2018-11-03 16:58:56,R_27OQL5e18zs0YL1,,,,,39.539703369140625,-105.01090240478515625,anonymous,EN,Yes- I consent,47.815,55.431,58.072,3,5,,,,,,56,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 17:01:31,2018-11-03 17:02:47,IP Address,73.245.143.40,100,75,True,2018-11-03 17:02:47,R_2ZO0YDjnhN3zMx7,,,,,27.6468048095703125,-80.40350341796875,anonymous,EN,Yes- I consent,,,,,,55.685,55.685,56.904,1,1,25,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 17:02:30,2018-11-03 17:04:05,IP Address,75.183.185.234,100,94,True,2018-11-03 17:04:05,R_1nMEJX4tSMV0yey,,,,,33.8343048095703125,-78.6605987548828125,anonymous,EN,Yes- I consent,,,,,,,,,,,26,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 17:04:02,2018-11-03 17:04:23,IP Address,68.207.246.47,100,21,True,2018-11-03 17:04:23,R_1mrsV9CBJywbYsh,,,,,27.8737945556640625,-82.6399993896484375,anonymous,EN,Yes- I consent,,,,,,,,,,,35,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 17:29:46,2018-11-03 17:30:40,IP Address,73.230.185.207,100,53,True,2018-11-03 17:30:40,R_2uWE0OSHiLIXNc3,,,,,40.2920989990234375,-76.4259033203125,anonymous,EN,Yes- I consent,,,,,,,,,,,48,Female,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 17:29:12,2018-11-03 17:30:51,IP Address,68.57.122.148,100,98,True,2018-11-03 17:30:51,R_ZfPckDaMAvUO2KB,,,,,36.3022003173828125,-82.4824981689453125,anonymous,EN,Yes- I consent,54.227,54.227,60.421,1,5,,,,,,65,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 17:30:05,2018-11-03 17:30:52,IP Address,71.56.164.125,100,47,True,2018-11-03 17:30:52,R_3hbgyJA2rZkFGBq,,,,,37.430999755859375,-77.65450286865234375,anonymous,EN,Yes- I consent,,,,,,,,,,,47,Female,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 17:29:42,2018-11-03 17:30:58,IP Address,75.134.154.184,100,76,True,2018-11-03 17:30:59,R_3ERJXauW7yZETjg,,,,,46.8105926513671875,-92.07669830322265625,anonymous,EN,Yes- I consent,39.381,39.381,41.042,1,3,,,,,,40,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 17:29:38,2018-11-03 17:31:08,IP Address,24.163.129.52,100,89,True,2018-11-03 17:31:08,R_2eb6XQ46RHN2IYH,,,,,43.1486053466796875,-88.124603271484375,anonymous,EN,Yes- I consent,,,,,,55.96,55.96,59.134,1,1,19,Male,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 17:32:59,2018-11-03 17:34:50,IP Address,70.101.16.15,100,110,True,2018-11-03 17:34:50,R_3MbO9N98PRArG6j,,,,,34.343902587890625,-81.091400146484375,anonymous,EN,Yes- I consent,,,,,,60.563,60.563,61.55,1,1,43,Female,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 17:37:45,2018-11-03 17:39:16,IP Address,173.218.64.86,100,91,True,2018-11-03 17:39:17,R_1l3tQU9LNOaej9W,,,,,37.0511932373046875,-93.29720306396484375,anonymous,EN,Yes- I consent,,,,,,11.82,20.292,49.069,2,1,27,Female,,Caucasian,,Maybe,Lean Republican,Yes,2
2018-11-03 17:45:32,2018-11-03 17:46:13,IP Address,104.238.59.80,100,41,True,2018-11-03 17:46:14,R_3Ge9U1FfIRiliut,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes- I consent,,,,,,,,,,,50,Female,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 18:02:04,2018-11-03 18:02:30,IP Address,148.74.232.199,100,26,True,2018-11-03 18:02:31,R_30hLl3l1vLDHYNL,,,,,40.63079833984375,-74.51219940185546875,anonymous,EN,Yes- I consent,,,,,,,,,,,33,Female,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 18:02:18,2018-11-03 18:02:49,IP Address,173.216.2.15,100,30,True,2018-11-03 18:02:49,R_2yekO33FhweqItE,,,,,34.9456939697265625,-92.03179931640625,anonymous,EN,Yes- I consent,,,,,,,,,,,45,Female,,Caucasian,,No,Lean Republican,No,3
2018-11-03 18:01:57,2018-11-03 18:02:59,IP Address,73.134.207.13,100,62,True,2018-11-03 18:03:00,R_3HXpWsaBbwzhFa9,,,,,38.912200927734375,-77.0177001953125,anonymous,EN,Yes- I consent,38.418,39.586,40.677,2,3,,,,,,25,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 18:02:02,2018-11-03 18:03:01,IP Address,73.14.197.245,100,58,True,2018-11-03 18:03:01,R_yryJA0G6WI9VYvD,,,,,38.8860015869140625,-104.739898681640625,anonymous,EN,Yes- I consent,35.037,35.037,36.465,1,3,,,,,,30,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 18:02:08,2018-11-03 18:03:18,IP Address,76.0.60.237,100,69,True,2018-11-03 18:03:18,R_2bZZ3rdYqONHLDd,,,,,38.78619384765625,-93.72389984130859375,anonymous,EN,Yes- I consent,,,,,,,,,,,30,Female,,Caucasian,,Maybe,Lean Republican,Yes,3
2018-11-03 18:01:57,2018-11-03 18:03:20,IP Address,50.224.170.179,100,82,True,2018-11-03 18:03:20,R_3j06ZEksg455i29,,,,,47.309906005859375,-122.2653045654296875,anonymous,EN,Yes- I consent,,,,,,21.552,24.094,46.72,2,1,36,Male,,"Black/African,Caucasian",,Yes,Somewhere in-between,Yes,2
2018-11-03 18:02:10,2018-11-03 18:03:43,IP Address,73.219.249.59,100,92,True,2018-11-03 18:03:43,R_1OlBAUJyiEtzrRs,,,,,42.2429046630859375,-71.00980377197265625,anonymous,EN,Yes- I consent,,,,,,1.747,59.895,60.73,5,1,31,Male,,Asian,,Yes,Lean Democrat,Yes,2
2018-11-03 18:02:39,2018-11-03 18:04:03,IP Address,73.201.146.51,100,84,True,2018-11-03 18:04:04,R_2fcVzy44GEWZbsf,,,,,38.675994873046875,-77.3162994384765625,anonymous,EN,Yes- I consent,44.429,44.429,46.201,1,3,,,,,,48,Male,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 18:02:14,2018-11-03 18:04:29,IP Address,104.0.0.81,100,134,True,2018-11-03 18:04:30,R_1DqFBMgNyn8Ctkk,,,,,37.043792724609375,-100.92859649658203125,anonymous,EN,Yes- I consent,46.994,46.994,48.845,1,3,,,,,,37,Female,,Caucasian,,Yes,Lean Democrat,Yes,1
2018-11-03 18:35:21,2018-11-03 18:35:39,IP Address,73.120.36.40,100,17,True,2018-11-03 18:35:39,R_3h3djE9FHqzjCqX,,,,,36.669403076171875,-80.9394989013671875,anonymous,EN,Yes- I consent,,,,,,,,,,,57,Female,,Caucasian,,Yes,Lean Republican,Yes,3
2018-11-03 18:35:32,2018-11-03 18:36:14,IP Address,24.162.213.59,100,41,True,2018-11-03 18:36:14,R_23WxXmoUfZen1zq,,,,,31.708892822265625,-106.3292999267578125,anonymous,EN,Yes- I consent,,,,,,,,,,,56,Male,,Caucasian,,Yes,Lean Democrat,Yes,3
2018-11-03 18:35:16,2018-11-03 18:36:53,IP Address,104.229.10.241,100,97,True,2018-11-03 18:36:53,R_1d79jghojrcbofL,,,,,43.1685028076171875,-77.68450164794921875,anonymous,EN,Yes- I consent,6.249,47.576,49.128,3,3,,,,,,53,Male,,Caucasian,,Yes,Somewhere in-between,Yes,1
2018-11-03 18:35:35,2018-11-03 18:36:54,IP Address,71.211.8.154,100,79,True,2018-11-03 18:36:54,R_1qe6CvSdueNnH6f,,,,,38.1230010986328125,-105.433197021484375,anonymous,EN,Yes- I consent,,,,,,56.431,56.431,57.948,1,1,36,Male,,Caucasian,,Yes,Lean Democrat,Yes,2
2018-11-03 18:35:26,2018-11-03 18:36:59,IP Address,100.10.71.13,100,93,True,2018-11-03 18:37:00,R_22SoQYxNbZwLy8D,,,,,41.69329833984375,-71.63950347900390625,anonymous,EN,Yes- I consent,,,,,,26.654,57.646,59.876,4,1,29,Male,,Caucasian,,No,Lean Democrat,No,2
2018-11-03 18:35:34,2018-11-03 18:37:20,IP Address,69.130.72.112,100,106,True,2018-11-03 18:37:21,R_shZxVQZn3Dpcrqp,,,,,44.9730072021484375,-69.54810333251953125,anonymous,EN,Yes- I consent,65.178,65.178,67.448,1,3,,,,,,46,Female,,Caucasian,,Yes,Somewhere in-between,Yes,1
2018-11-03 18:35:37,2018-11-03 18:37:52,IP Address,99.174.225.254,100,135,True,2018-11-03 18:37:53,R_O3avSCxi197KgoN,,,,,33.976104736328125,-117.338897705078125,anonymous,EN,Yes- I consent,39.563,43.672,45.859,2,3,,,,,,37,Female,,Black/African,,Yes,Lean Democrat,Yes,1
