StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q25,Q28,Q31,Q34,Q5,Q7,Q8,Q8_4_TEXT,Q35,Q35_7_TEXT,Q9,Q11,Q12,Q10,Q1,Condition,Q35_7_TEXT - Topics
2018-10-24 15:50:03,2018-10-24 15:51:04,IP Address,173.233.112.178,100,60,True,2018-10-24 15:51:04,R_3qnRhZmQaO2OdP3,,,,,33.9136962890625,-80.3542022705078125,anonymous,EN,Yes- I consent,,,,A man and a woman,29080,25,Female,,Black/African,,Water,Yes,Yes,Somewhere in-between,Yes,4,
2018-10-24 15:50:31,2018-10-24 15:51:14,IP Address,142.129.18.134,100,42,True,2018-10-24 15:51:14,R_3RgCXh026qJroNn,,,,,34.028900146484375,-117.9373016357421875,anonymous,EN,Yes- I consent,,,,,91744,31,Female,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:50:35,2018-10-24 15:51:15,IP Address,23.240.53.224,100,39,True,2018-10-24 15:51:15,R_3fMEk14u6pOBQAp,,,,,33.9779052734375,-118.4524993896484375,anonymous,EN,Yes- I consent,,A Woman,,,90292,36,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:50:14,2018-10-24 15:51:15,IP Address,71.72.177.96,100,61,True,2018-10-24 15:51:15,R_3pamATHe7rIxCp9,,,,,39.71710205078125,-84.1331024169921875,anonymous,EN,Yes- I consent,,,,A man and a woman,45403,36,Male,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,4,
2018-10-24 15:49:51,2018-10-24 15:51:17,IP Address,73.47.74.31,100,86,True,2018-10-24 15:51:17,R_4GuqlV0s6rWvaa5,,,,,42.8874053955078125,-71.302001953125,anonymous,EN,Yes- I consent,,A Woman,,,03038,52,Female,,Black/African,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:50:39,2018-10-24 15:51:22,IP Address,107.4.135.16,100,43,True,2018-10-24 15:51:23,R_Ad6j9S0jRaBhwYh,,,,,45.164306640625,-93.31929779052734375,anonymous,EN,Yes- I consent,A Woman,,,,55433,24,Male,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,1,
2018-10-24 15:50:07,2018-10-24 15:51:23,IP Address,76.23.12.34,100,76,True,2018-10-24 15:51:23,R_1EZCynxQ077TzIe,,,,,40.6551055908203125,-111.8339996337890625,anonymous,EN,Yes- I consent,,,A Man,,84107,31,Male,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 15:50:07,2018-10-24 15:51:24,IP Address,128.171.137.10,100,77,True,2018-10-24 15:51:24,R_12x7Mv6svgSNoe0,,,,,21.31170654296875,-157.829803466796875,anonymous,EN,Yes- I consent,A Woman,,,,96822,43,Female,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:50:39,2018-10-24 15:51:30,IP Address,71.207.90.26,100,51,True,2018-10-24 15:51:30,R_2pM4tPYKxmtkFHq,,,,,40.335205078125,-76.7913970947265625,anonymous,EN,Yes- I consent,A Woman,,,,17111,23,Female,,Caucasian,,Water,Yes,No,Lean Democrat,Yes,1,
2018-10-24 15:50:21,2018-10-24 15:51:31,IP Address,108.45.114.139,100,70,True,2018-10-24 15:51:31,R_21EAih4coxGc6Fl,,,,,38.8600006103515625,-77.09870147705078125,anonymous,EN,Yes- I consent,,,,A man and a woman,22202,25,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:50:34,2018-10-24 15:51:33,IP Address,71.245.252.57,100,59,True,2018-10-24 15:51:34,R_2VL7GtMJXUzovfX,,,,,40.8162994384765625,-73.86209869384765625,anonymous,EN,Yes- I consent,,,A Man,,10472,28,Male,,Caucasian,,Iced Tea,Yes,No,Somewhere in-between,Yes,3,
2018-10-24 15:50:39,2018-10-24 15:51:36,IP Address,69.243.161.167,100,56,True,2018-10-24 15:51:36,R_3lFuOup3UfrS8zh,,,,,41.809295654296875,-87.7052001953125,anonymous,EN,Yes- I consent,A Woman,,,,60632,35,Female,,Other - Please specify,Latino,Iced Tea,Yes,Yes,Lean Democrat,Yes,1,Unknown
2018-10-24 15:50:52,2018-10-24 15:51:45,IP Address,172.10.130.161,100,53,True,2018-10-24 15:51:45,R_2w0iGkJakcrJpy4,,,,,32.7368011474609375,-117.240203857421875,anonymous,EN,Yes- I consent,,,A Man,,92110,40,Female,,Caucasian,,Water,Yes,No,Lean Republican,Yes,3,
2018-10-24 15:50:11,2018-10-24 15:51:54,IP Address,108.85.27.202,100,102,True,2018-10-24 15:51:54,R_2B9X8QWOOfGORrk,,,,,37.76409912109375,-122.163299560546875,anonymous,EN,Yes- I consent,,,,A man and a woman,94603,34,Male,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 15:51:02,2018-10-24 15:51:54,IP Address,108.247.122.190,100,52,True,2018-10-24 15:51:55,R_3HTwMRBuaYB1sHh,,,,,38.0684967041015625,-122.16139984130859375,anonymous,EN,Yes- I consent,,,,,94510,52,Female,,Asian,,Water,Yes,Yes,Somewhere in-between,Yes,5,
2018-10-24 15:50:59,2018-10-24 15:51:55,IP Address,108.53.17.108,100,56,True,2018-10-24 15:51:55,R_2dLRqjIwsuZqBIy,,,,,40.615203857421875,-74.41500091552734375,anonymous,EN,Yes- I consent,,,A Man,,07060,64,Male,,Caucasian,,Coors Light,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:50:49,2018-10-24 15:52:00,IP Address,216.49.32.66,100,71,True,2018-10-24 15:52:00,R_2QrECSEhnHs8MZY,,,,,41.093597412109375,-75.1186981201171875,anonymous,EN,Yes- I consent,,,,,18302,32,Male,,"Caucasian,Native American",,Water,Yes,Yes,Lean Republican,Yes,5,
2018-10-24 15:50:51,2018-10-24 15:52:01,IP Address,184.53.0.250,100,69,True,2018-10-24 15:52:01,R_3nCS8FiDY3CERvx,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes- I consent,,A Woman,,,72173,40,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,2,
2018-10-24 15:50:59,2018-10-24 15:52:04,IP Address,71.105.70.41,100,65,True,2018-10-24 15:52:04,R_2Tu8jxYUKGXq55r,,,,,40.75360107421875,-73.822601318359375,anonymous,EN,Yes- I consent,,,,,11355,52,Female,,Asian,,Iced Tea,Maybe,Yes,Somewhere in-between,Yes,5,
2018-10-24 15:51:20,2018-10-24 15:52:07,IP Address,216.114.99.220,100,47,True,2018-10-24 15:52:07,R_9oux3c1YhIOAeyJ,,,,,38.3119049072265625,-90.15350341796875,anonymous,EN,Yes- I consent,,A Woman,,,62298,38,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:51:06,2018-10-24 15:52:07,IP Address,71.196.173.184,100,61,True,2018-10-24 15:52:07,R_pAzziGiUKhOvxyp,,,,,39.8141021728515625,-105.11769866943359375,anonymous,EN,Yes- I consent,A Woman,,,,80004,44,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Republican,Yes,1,
2018-10-24 15:51:06,2018-10-24 15:52:15,IP Address,24.167.34.184,100,69,True,2018-10-24 15:52:15,R_oYUDrji9yZ24xHj,,,,,26.2758941650390625,-98.233001708984375,anonymous,EN,Yes- I consent,,,,A man and a woman,78539,50,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 15:51:21,2018-10-24 15:52:16,IP Address,66.66.196.84,100,54,True,2018-10-24 15:52:16,R_8x3aabXcQUcaOOd,,,,,43.083404541015625,-77.6343994140625,anonymous,EN,Yes- I consent,A Woman,,,,14618,49,Male,,Caucasian,,Hoppy microbrew,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:50:56,2018-10-24 15:52:16,IP Address,173.70.29.204,100,79,True,2018-10-24 15:52:16,R_3nOsaUF6aKTfRHI,,,,,40.8130950927734375,-74.21649932861328125,anonymous,EN,Yes- I consent,,,A Man,,07043,23,Male,,Prefer not to answer,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,3,
2018-10-24 15:50:32,2018-10-24 15:52:19,IP Address,64.188.201.13,100,106,True,2018-10-24 15:52:19,R_25LPMIvxrt3QSwF,,,,,40.3983001708984375,-120.64640045166015625,anonymous,EN,Yes- I consent,,,,A man and a woman,96130,63,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:51:25,2018-10-24 15:52:20,IP Address,68.46.231.43,100,55,True,2018-10-24 15:52:20,R_5BCnBnoKmEQ0bXH,,,,,31.148101806640625,-85.37180328369140625,anonymous,EN,Yes- I consent,,,,,36301,27,Male,,Caucasian,,Water,Maybe,No,Lean Democrat,Yes,5,
2018-10-24 15:50:31,2018-10-24 15:52:24,IP Address,66.27.66.116,100,113,True,2018-10-24 15:52:25,R_12x4B9uzfKdSO0l,,,,,32.957000732421875,-117.19789886474609375,anonymous,EN,Yes- I consent,,,,,92130,62,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,5,
2018-10-24 15:51:41,2018-10-24 15:52:28,IP Address,173.174.84.152,100,46,True,2018-10-24 15:52:28,R_3ETsWyYBvnvzQcG,,,,,30.399993896484375,-97.75279998779296875,anonymous,EN,Yes- I consent,,,,,78758,29,Female,,"Caucasian,Native American,Other - Please specify",middle eastern,Water,Yes,Yes,Somewhere in-between,Yes,5,Unknown
2018-10-24 15:51:33,2018-10-24 15:52:28,IP Address,97.95.203.216,100,54,True,2018-10-24 15:52:28,R_1HnIZE0r5ftr06V,,,,,34.7776031494140625,-82.3050994873046875,anonymous,EN,Yes- I consent,,A Woman,,,29681,34,Male,,Asian,,Iced Tea,Yes,Yes,Somewhere in-between,Yes,2,
2018-10-24 15:51:11,2018-10-24 15:52:30,IP Address,107.142.196.62,100,79,True,2018-10-24 15:52:30,R_3gUiGXxW99PXg2n,,,,,36.644195556640625,-83.6555023193359375,anonymous,EN,Yes- I consent,,,,A man and a woman,37752,53,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:50:16,2018-10-24 15:52:31,IP Address,97.124.101.53,100,134,True,2018-10-24 15:52:31,R_1qURiv2lXGS4QdS,,,,,33.3354034423828125,-111.7406005859375,anonymous,EN,Yes- I consent,,,A Man,,85304,28,Male,,Caucasian,,Iced Tea,No,No,Lean Democrat,No,3,
2018-10-24 15:51:54,2018-10-24 15:52:33,IP Address,73.230.83.78,100,38,True,2018-10-24 15:52:33,R_3k3CTcMv3kySaJz,,,,,40.808197021484375,-77.89260101318359375,anonymous,EN,Yes- I consent,,,,,16802,20,Female,,Caucasian,,Water,Maybe,No,Lean Democrat,Yes,5,
2018-10-24 15:51:25,2018-10-24 15:52:36,IP Address,71.194.123.244,100,70,True,2018-10-24 15:52:36,R_3ELukRrl5AzZKTs,,,,,41.979400634765625,-88.206298828125,anonymous,EN,Yes- I consent,,,,A man and a woman,60103,49,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 15:51:35,2018-10-24 15:52:37,IP Address,50.204.187.163,100,62,True,2018-10-24 15:52:38,R_241LFWaVzH6NVZz,,,,,38.0030975341796875,-121.91719818115234375,anonymous,EN,Yes- I consent,A Woman,,,,94509,34,Female,,Asian,,Water,Yes,Yes,Somewhere in-between,Yes,1,
2018-10-24 15:51:23,2018-10-24 15:52:47,IP Address,71.8.0.133,100,83,True,2018-10-24 15:52:47,R_AsT6thUx02j4Rhv,,,,,32.3834075927734375,-86.24340057373046875,anonymous,EN,Yes- I consent,,A Woman,,,36109,33,Female,,Black/African,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:51:19,2018-10-24 15:52:51,IP Address,74.123.20.72,100,91,True,2018-10-24 15:52:51,R_Aj64LsPszmHxGNP,,,,,35.3511962890625,-86.18379974365234375,anonymous,EN,Yes- I consent,,,A Man,,37388,44,Female,,Caucasian,,Water,No,No,Lean Republican,No,3,
2018-10-24 15:51:57,2018-10-24 15:53:00,IP Address,75.103.130.245,100,63,True,2018-10-24 15:53:00,R_3O7f84QVFZcq8Cx,,,,,39.514801025390625,-86.7938995361328125,anonymous,EN,Yes- I consent,A Woman,,,,46120,51,Female,,Caucasian,,Coors Light,Yes,Yes,Somewhere in-between,Yes,1,
2018-10-24 15:52:16,2018-10-24 15:53:02,IP Address,66.172.195.169,100,46,True,2018-10-24 15:53:03,R_1IW5ZRvZQkg2kZc,,,,,42.46710205078125,-96.3527984619140625,anonymous,EN,Yes- I consent,,,,,51031,41,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:50:32,2018-10-24 15:53:04,IP Address,99.57.35.40,100,151,True,2018-10-24 15:53:04,R_2QsqgFbC3ZGlywc,,,,,42.347900390625,-87.86710357666015625,anonymous,EN,Yes- I consent,,A Woman,,,90667,57,Female,,Other - Please specify,Hispanic,Coors Light,Yes,Yes,Lean Democrat,Yes,2,Unknown
2018-10-24 15:52:27,2018-10-24 15:53:15,IP Address,184.176.100.226,100,47,True,2018-10-24 15:53:15,R_1LzBpdYnFpLC4kA,,,,,33.436798095703125,-112.38339996337890625,anonymous,EN,Yes- I consent,,,,A man and a woman,85338,29,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:52:04,2018-10-24 15:53:15,IP Address,76.112.239.203,100,70,True,2018-10-24 15:53:15,R_3etecY5VD4enfcD,,,,,42.3318023681640625,-83.371002197265625,anonymous,EN,Yes- I consent,,A Woman,,,48185,38,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:52:06,2018-10-24 15:53:19,IP Address,173.215.62.4,100,72,True,2018-10-24 15:53:19,R_3R4lwnrgG2vDQnY,,,,,40.73260498046875,-91.9644012451171875,anonymous,EN,Yes- I consent,,A Woman,,,52565,40,Female,,Caucasian,,Water,Maybe,Yes,Lean Republican,Yes,2,
2018-10-24 15:50:17,2018-10-24 15:53:22,IP Address,99.150.227.99,100,185,True,2018-10-24 15:53:23,R_1ltyeZzTVYJFP6i,,,,,35.766693115234375,-78.600799560546875,anonymous,EN,Yes- I consent,,,,A man and a woman,27604,41,Male,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,4,
2018-10-24 15:52:11,2018-10-24 15:53:33,IP Address,70.177.201.139,100,81,True,2018-10-24 15:53:33,R_1giOUrVTqnFhfvr,,,,,36.885894775390625,-76.3003997802734375,anonymous,EN,Yes- I consent,A Woman,,,,23503,64,Male,,Other - Please specify,Native American,Water,Yes,Yes,Lean Democrat,Yes,1,Unknown
2018-10-24 15:51:52,2018-10-24 15:53:33,IP Address,67.86.159.108,100,101,True,2018-10-24 15:53:34,R_xswEfW0ExIQAN7b,,,,,40.6280975341796875,-73.9467010498046875,anonymous,EN,Yes- I consent,,,,A man and a woman,11203,38,Female,,Other - Please specify,latin,Iced Tea,Yes,Yes,Lean Democrat,Yes,4,Unknown
2018-10-24 15:53:00,2018-10-24 15:53:37,IP Address,47.145.108.231,100,36,True,2018-10-24 15:53:37,R_1P0CX7nLn0Rx9bm,,,,,33.8668975830078125,-118.068603515625,anonymous,EN,Yes- I consent,,A Woman,,,92831,45,Male,,Asian,,Iced Tea,Yes,Yes,Lean Republican,Yes,2,
2018-10-24 15:52:50,2018-10-24 15:53:44,IP Address,47.201.52.99,100,53,True,2018-10-24 15:53:45,R_28C0kjVfivocPMA,,,,,27.09979248046875,-82.4542999267578125,anonymous,EN,Yes- I consent,,,,,34275,38,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:52:12,2018-10-24 15:53:50,IP Address,104.8.191.142,100,97,True,2018-10-24 15:53:50,R_1mfO1X2u1yszmST,,,,,29.834503173828125,-90.00420379638671875,anonymous,EN,Yes- I consent,,,A Man,,70056,49,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:53:21,2018-10-24 15:53:56,IP Address,24.127.170.193,100,34,True,2018-10-24 15:53:56,R_vicpP3ee1hgDPQl,,,,,42.3358001708984375,-83.3845977783203125,anonymous,EN,Yes- I consent,A Woman,,,,48185,24,Male,,Caucasian,,Water,Yes,No,Lean Democrat,Yes,1,
2018-10-24 15:53:19,2018-10-24 15:54:05,IP Address,75.55.154.34,100,45,True,2018-10-24 15:54:05,R_xAFXjebmUcy38YN,,,,,36.609893798828125,-88.30319976806640625,anonymous,EN,Yes- I consent,,,A Man,,42071,36,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:53:36,2018-10-24 15:54:08,IP Address,73.91.141.70,100,31,True,2018-10-24 15:54:08,R_2VI9Pm52aBJd0UF,,,,,34.917999267578125,-89.82160186767578125,anonymous,EN,Yes- I consent,,A Woman,,,38016,33,Female,,Caucasian,,Iced Tea,Maybe,No,Lean Republican,No,2,
2018-10-24 15:53:45,2018-10-24 15:54:26,IP Address,32.213.81.138,100,41,True,2018-10-24 15:54:26,R_OkZMqoRSOA4hBW9,,,,,41.21600341796875,-73.130401611328125,anonymous,EN,Yes- I consent,,,,A man and a woman,06614,29,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,4,
2018-10-24 15:53:05,2018-10-24 15:54:27,IP Address,47.42.172.20,100,81,True,2018-10-24 15:54:27,R_XFazy7O2aFqjZgB,,,,,43.2270050048828125,-123.51580047607421875,anonymous,EN,Yes- I consent,A Woman,,,,97471,38,Male,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,1,
2018-10-24 15:51:17,2018-10-24 15:54:27,IP Address,104.129.206.77,100,190,True,2018-10-24 15:54:27,R_24cRA7NuCpH1VNe,,,,,35.2270965576171875,-80.84310150146484375,anonymous,EN,Yes- I consent,,,A Man,,35757,28,Male,,Caucasian,,Coors Light,Yes,Yes,Lean Republican,Yes,3,
2018-10-24 15:53:32,2018-10-24 15:54:28,IP Address,24.130.253.48,100,55,True,2018-10-24 15:54:28,R_UyFsKbsr6BxhNzX,,,,,37.7877960205078125,-122.1884002685546875,anonymous,EN,Yes- I consent,,,,,94587,28,Female,,Asian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:53:42,2018-10-24 15:54:42,IP Address,76.182.71.227,100,60,True,2018-10-24 15:54:42,R_3JIDiUCiu602GKX,,,,,35.7075958251953125,-78.65630340576171875,anonymous,EN,Yes- I consent,,,,,27605,43,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,5,
2018-10-24 15:53:05,2018-10-24 15:54:49,IP Address,98.18.24.65,100,103,True,2018-10-24 15:54:49,R_cGPlv71PZWE01up,,,,,29.813507080078125,-82.4720001220703125,anonymous,EN,Yes- I consent,,,A Man,,32060,78,Female,,Caucasian,,Iced Tea,Yes,Yes,Lean Republican,Yes,3,
2018-10-24 15:53:52,2018-10-24 15:54:58,IP Address,172.117.83.48,100,66,True,2018-10-24 15:54:58,R_yVe6yBRzddxkevn,,,,,33.811004638671875,-117.2180023193359375,anonymous,EN,Yes- I consent,,,A Man,,92571,23,Female,,Caucasian,,Water,Yes,Yes,Lean Democrat,Yes,3,
2018-10-24 15:54:06,2018-10-24 15:55:01,IP Address,12.28.165.226,100,54,True,2018-10-24 15:55:01,R_2Ub9jkQsqfSn1wm,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes- I consent,,,,,92108,33,Female,,Asian,,Water,Maybe,No,Lean Democrat,No,5,
2018-10-24 15:54:29,2018-10-24 15:55:12,IP Address,173.215.15.248,100,43,True,2018-10-24 15:55:13,R_2skrZkKIcwzZIuB,,,,,42.0193939208984375,-92.1045989990234375,anonymous,EN,Yes- I consent,A Woman,,,,52346,48,Female,,Caucasian,,Water,Yes,Yes,Lean Republican,Yes,1,
2018-10-24 15:53:08,2018-10-24 15:55:18,IP Address,75.0.205.77,100,130,True,2018-10-24 15:55:19,R_1MRq8iaiJXUOg0P,,,,,37.7545928955078125,-84.295501708984375,anonymous,EN,Yes- I consent,,,,A man and a woman,40475,29,Female,,Caucasian,,Water,Maybe,Yes,Somewhere in-between,Yes,4,
2018-10-24 15:51:27,2018-10-24 15:55:20,IP Address,73.245.212.156,100,233,True,2018-10-24 15:55:20,R_2tgU9Xk3GfYye6G,,,,,26.5171051025390625,-80.17870330810546875,anonymous,EN,Yes- I consent,,,,A man and a woman,33437,27,Female,,Caucasian,,Coors Light,Maybe,Yes,Lean Democrat,Yes,4,
2018-10-24 15:53:52,2018-10-24 15:55:37,IP Address,73.253.70.162,100,104,True,2018-10-24 15:55:37,R_10BhQHWFgWCHgPf,,,,,42.4586029052734375,-71.35970306396484375,anonymous,EN,Yes- I consent,,A Woman,,,01886,51,Female,,Prefer not to answer,,Water,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:54:55,2018-10-24 15:55:37,IP Address,165.214.11.88,100,41,True,2018-10-24 15:55:37,R_1remDlWO1j0nFaZ,,,,,36.0330963134765625,-86.78279876708984375,anonymous,EN,Yes- I consent,,A Woman,,,37115,26,Male,,Caucasian,,Iced Tea,Yes,Yes,Lean Democrat,Yes,2,
2018-10-24 15:51:43,2018-10-24 15:55:39,IP Address,75.51.144.15,100,236,True,2018-10-24 15:55:39,R_2wblXkqTPDkMKoE,,,,,37.3162994384765625,-121.93560028076171875,anonymous,EN,Yes- I consent,,,,A man and a woman,94086,26,Female,,Asian,,Water,Maybe,No,Lean Democrat,No,4,
2018-10-24 15:54:28,2018-10-24 15:55:57,IP Address,67.44.176.114,100,89,True,2018-10-24 15:55:57,R_8wcMIfEGuTAgwal,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes- I consent,,,,A man and a woman,67301,30,Male,,Caucasian,,Water,Yes,Yes,Somewhere in-between,Yes,4,
